Дата,Номер счёта,Сумма,Валюта,Назначение платежа,Категория операции
2026-06-15,40817***8899,-620.00,RUB,Перекрёсток,Супермаркеты
2026-06-15,40817***8899,-150.00,RUB,Метро Тройка пополнение,Транспорт
2026-06-16,40817***8899,-45000.00,RUB,Ипотека платёж,Прочее
2026-06-16,40817***8899,-199.00,RUB,Yandex Plus подписка,Сервисы
2026-06-17,40817***8899,-540.00,RUB,Аптека Ригла,Здоровье
2026-06-17,40817***8899,-980.00,RUB,Лента гипермаркет,Супермаркеты
2026-06-18,40817***8899,-3100.00,RUB,Газпромнефть АЗС,Транспорт
2026-06-18,40817***8899,-450.00,RUB,IVI онлайн кинотеатр,Развлечения
2026-06-19,40817***8899,-2200.00,RUB,Стоматолог клиника,Здоровье
2026-06-19,40817***8899,-330.00,RUB,Шоколадница кафе,Рестораны
2026-06-20,40817***8899,-1750.00,RUB,KFC обед,Рестораны
2026-06-20,40817***8899,-88.00,RUB,Подорожник проезд,Транспорт
2026-06-21,40817***8899,-4200.00,RUB,Оплата ЖКУ управляющая компания,Прочее
2026-06-21,40817***8899,-2900.00,RUB,Возврат долга Петрову,Переводы
2026-06-21,40817***8899,-1600.00,RUB,Wildberries заказ,Маркетплейсы
