Дата операции;Дата платежа;Номер карты;Статус;Сумма операции;Валюта операции;Описание;Категория
28.06.2026 09:12:03;28.06.2026;*1234;OK;-540,50;RUB;Пятёрочка;Супермаркеты
28.06.2026 19:40:11;28.06.2026;*1234;OK;-320,00;RUB;Яндекс Такси;Транспорт
27.06.2026 12:00:00;27.06.2026;*1234;OK;-45000,00;RUB;Аренда квартиры за июль;Разное
27.06.2026 08:05:22;27.06.2026;*1234;OK;-299,00;RUB;Кинопоиск HD подписка;Онлайн-сервисы
26.06.2026 21:15:44;26.06.2026;*1234;OK;-780,00;RUB;Аптека Горздрав;Здоровье
26.06.2026 13:22:10;26.06.2026;*1234;OK;-1240,30;RUB;Магнит у дома;Супермаркеты
25.06.2026 07:48:00;25.06.2026;*1234;OK;-2600,00;RUB;АЗС Лукойл заправка;Транспорт
25.06.2026 00:01:00;25.06.2026;*1234;OK;-599,00;RUB;NETFLIX.COM;Онлайн-сервисы
24.06.2026 18:30:00;24.06.2026;*1234;OK;-3990,00;RUB;World Class фитнес;Здоровье
24.06.2026 10:11:00;24.06.2026;*1234;OK;-410,00;RUB;Кофе с собой Coffee;Рестораны
23.06.2026 22:00:00;23.06.2026;*1234;OK;-1500,00;RUB;STEAM GAMES;Развлечения
23.06.2026 14:44:00;23.06.2026;*1234;OK;-870,00;RUB;ВкусВилл;Супермаркеты
22.06.2026 20:05:00;22.06.2026;*1234;OK;-650,00;RUB;Delivery Club заказ;Рестораны
22.06.2026 08:30:00;22.06.2026;*1234;OK;-70,00;RUB;Метрополитен Москва;Транспорт
21.06.2026 11:00:00;21.06.2026;*1234;OK;-5400,00;RUB;Оплата ЖКХ Мосэнергосбыт;Разное
21.06.2026 19:00:00;21.06.2026;*1234;OK;-2000,00;RUB;Театр билеты;Развлечения
20.06.2026 16:20:00;20.06.2026;*1234;OK;-1180,00;RUB;Самокат доставка продуктов;Супермаркеты
20.06.2026 12:00:00;20.06.2026;*1234;OK;-3500,00;RUB;Перевод Иванову И. И.;Переводы
19.06.2026 15:00:00;19.06.2026;*1234;OK;-2450,00;RUB;OZON заказ 84213;Маркетплейсы
19.06.2026 09:00:00;19.06.2026;*1234;OK;+120000,00;RUB;Зарплата ООО Ромашка;Пополнения
